# size_bytes, sequential_ns, random_ns, random_index_ns
322560, 0.17, 19.91, 11.55
323584, 0.21, 23.02, 2.59
324608, 0.20, 10.90, 7.28
325632, 0.23, 19.81, 2.68
326656, 0.21, 15.63, 1.91
327680, 0.17, 10.20, 2.54
328704, 0.24, 10.65, 1.34
329728, 0.27, 16.10, 1.62
330752, 0.17, 11.24, 1.31
331776, 0.17, 10.23, 1.66
332800, 0.21, 10.50, 1.60
333824, 0.17, 10.19, 1.59
334848, 0.17, 10.18, 1.34
335872, 0.28, 10.02, 1.65
336896, 0.19, 9.91, 1.51
337920, 0.17, 9.44, 1.24
338944, 0.16, 9.61, 1.22
339968, 0.17, 10.00, 1.24
340992, 0.23, 9.46, 1.34
342016, 0.17, 9.76, 1.36
343040, 0.16, 9.66, 1.26
344064, 0.17, 9.70, 1.40
345088, 0.17, 9.63, 1.24
346112, 0.16, 9.43, 2.34
347136, 0.24, 10.64, 2.09
348160, 0.23, 12.22, 2.37
349184, 0.27, 11.68, 2.25
350208, 0.16, 11.83, 1.80
351232, 0.16, 11.68, 1.58
352256, 0.16, 10.26, 1.71
353280, 0.24, 10.32, 1.69
354304, 0.17, 10.61, 1.59
355328, 0.16, 10.18, 1.47
356352, 0.17, 10.41, 1.52
357376, 0.24, 10.35, 1.48
358400, 0.22, 10.77, 1.59
359424, 0.16, 10.53, 1.36
360448, 0.16, 10.19, 1.81
361472, 0.20, 10.31, 2.16
362496, 0.16, 11.11, 1.64
363520, 0.16, 12.06, 1.45
364544, 0.16, 10.35, 2.44
365568, 0.16, 11.06, 2.12
366592, 0.16, 10.90, 1.50
367616, 0.17, 10.84, 1.86
368640, 0.19, 11.25, 1.98
369664, 0.21, 10.89, 1.70
370688, 0.20, 10.75, 1.91
371712, 0.26, 11.57, 2.60
372736, 0.25, 10.38, 2.07
373760, 0.17, 10.08, 2.62
374784, 0.51, 12.63, 2.07
375808, 0.18, 11.46, 1.28
376832, 0.17, 9.54, 1.40
377856, 0.17, 10.48, 1.41
378880, 0.17, 9.61, 1.32
379904, 0.17, 9.58, 1.31
380928, 0.17, 9.62, 1.56
381952, 0.17, 9.42, 1.42
382976, 0.17, 9.50, 1.40
384000, 0.17, 9.78, 2.15
385024, 0.19, 9.66, 1.35
386048, 0.17, 9.59, 1.32
387072, 0.17, 9.43, 1.38
388096, 0.17, 9.54, 1.31
389120, 0.17, 9.59, 1.31
390144, 0.20, 9.55, 1.31
391168, 0.17, 9.62, 1.53
392192, 0.18, 10.49, 1.46
393216, 0.18, 10.38, 1.56
394240, 0.18, 10.30, 1.57
395264, 0.18, 11.19, 1.56
396288, 0.18, 10.95, 1.51
397312, 0.17, 10.28, 1.56
398336, 0.18, 10.29, 1.69
399360, 0.18, 10.20, 1.52
400384, 0.18, 13.58, 1.65
401408, 0.18, 10.26, 1.55
402432, 0.22, 10.42, 4.01
403456, 0.34, 14.72, 3.33
404480, 0.32, 13.27, 1.66
405504, 0.17, 11.35, 1.96
406528, 0.21, 10.65, 2.47
407552, 0.24, 11.70, 1.90
408576, 0.20, 11.61, 2.05
409600, 0.19, 10.84, 2.08
410624, 0.21, 10.42, 1.90
411648, 0.21, 10.86, 1.63
412672, 0.17, 11.10, 1.54
413696, 0.19, 10.17, 1.74
414720, 0.17, 11.45, 2.34
415744, 0.27, 11.37, 2.02
416768, 0.17, 10.95, 2.28
417792, 0.17, 11.22, 2.34
418816, 0.21, 10.75, 2.07
419840, 0.18, 11.66, 1.99
420864, 0.32, 10.74, 1.72
421888, 0.17, 10.59, 3.42
422912, 0.21, 11.87, 2.16
423936, 0.17, 12.47, 1.47
424960, 0.27, 11.51, 1.39
425984, 0.17, 9.75, 1.39
427008, 0.23, 9.51, 1.69
428032, 0.53, 17.88, 1.45
429056, 0.17, 9.64, 1.47
430080, 0.31, 13.57, 1.47
431104, 0.17, 10.11, 1.81
432128, 0.24, 10.79, 1.40
433152, 0.24, 10.19, 1.41
434176, 0.19, 9.86, 1.40
435200, 0.17, 10.27, 1.40
436224, 0.25, 9.42, 1.43
437248, 0.18, 9.42, 1.42
438272, 0.19, 9.42, 1.47
439296, 0.17, 9.60, 1.41
440320, 0.17, 9.55, 1.37
441344, 0.17, 9.56, 1.37
442368, 0.17, 9.60, 1.47
443392, 0.17, 9.76, 1.54
444416, 0.17, 10.49, 1.76
445440, 0.19, 10.11, 1.93
446464, 0.51, 10.83, 2.42
447488, 0.22, 10.96, 1.84
448512, 0.23, 10.92, 1.82
449536, 0.19, 10.20, 1.94
450560, 0.22, 10.20, 1.76
451584, 0.17, 10.09, 1.60
452608, 0.31, 10.70, 1.88
453632, 0.19, 10.90, 1.75
454656, 0.16, 10.35, 1.71
455680, 0.17, 10.47, 2.10
456704, 0.17, 10.50, 1.92
